Temps [s];Marche [s/j];Amplitude [°]
1894;0.8;287
1896;2.4;288
1898;2.8;280
1900;1.1;288
1902;0.6;292
1904;2.9;292
1906;2.2;291
1908;1;294
1910;1.2;291
1912;3.4;294
1914;1.1;293
1916;1.6;295
1918;1.4;296
1920;5.4;293
1922;2.5;291
1924;2.5;292
1926;3;289
1928;5.1;284
1930;1.6;285
1932;1.3;287
1934;3.4;285
1936;2.3;282
1938;1.5;282
1940;1.2;282
1942;4.1;282
1944;0.7;281
1946;1;278
1948;1.1;282
1950;2.8;285
1952;0;278
1954;2.3;280
1956;3.5;278
1958;2.3;283
1960;0.9;284
1962;1.2;288
1964;3.6;284
1966;2.4;281
1968;2.7;280
1970;1.5;283
1972;4.5;281
1974;2.1;278
1976;3.5;273
1978;2.2;276
1980;5;270
1982;0.1;269
1984;-0.5;267
1986;0.9;269
1988;2.4;272
1990;-0.6;275
1992;0;278
1994;2.6;270
1996;-0.8;276
1998;1.1;280
2000;-0.1;280
2002;3.9;281
2004;-0.9;282
2006;0.4;282
2008;1.3;281
2010;3.7;280
2012;0.6;284
2014;0.7;287
2016;3.1;287
2018;2.1;289
2020;2.3;288
2022;1.7;288
2024;3.5;286
2026;1.6;281
2028;2.1;286
2030;1.9;285
2032;4.8;281
2034;2.1;281
2036;2.2;282
2038;1;282
2040;4.6;279
2042;1.3;280
2044;0.7;281
2046;1.1;282
2048;3;278
2050;-0.4;283
2052;1;287
2054;2.4;285
2056;0.1;286
2058;1.1;290
2060;1.2;289
2062;3.9;288
2064;0;289
2066;1.1;291
2068;1;288
2070;3.1;292
2072;0.8;295
2074;1.8;294
2076;3.7;291
2078;1.3;290
2080;2.1;291
2082;1.2;295
2084;3.5;291
2086;1.9;289
2088;2.9;288
2090;2.2;281
2092;4.2;284
2094;1;287
2096;1.8;288
2098;0.9;290
2100;4;287
2102;1.3;290
2104;0.8;290
2106;1.9;291
2108;2.7;289
2110;0.2;292
2112;1.1;293
2114;2.5;294
2116;1.1;290
2118;2.1;293
2120;1.2;294
2122;3.8;290
2124;-0.1;295
2126;2;296
2128;2.8;297
2130;4;291
2132;1.4;295
2134;2.1;295
2136;3.8;292
2138;1.6;290
2140;2.4;292
2142;1.9;292
2144;4.1;289
2146;1.9;288
2148;2.2;288
2150;0.9;288
2152;4.4;288
